 ,Area,Mean,StdDev,Min,Max,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,Length
1,0.168,123.111,21.457,98.667,138.833,0.000,0.528,20.626,369.333,190.002,48.210,26.565,6.000E-4,0.487
2,0.168,126.222,22.540,105.167,150.000,0.000,0.473,21.148,378.667,178.895,46.083,0.000,0.000,0.354
3,0.223,127.958,27.134,89.667,153.333,0.000,0.473,28.585,511.833,172.042,41.356,0.000,0.000,0.591
4,0.112,109.708,9.016,103.333,116.083,-90.000,0.236,12.254,219.417,164.716,42.774,90.000,0.000,0.236
5,0.168,115.847,33.972,85.417,152.500,0.000,0.473,19.409,347.542,155.027,41.593,0.000,0.000,0.354
6,0.168,85.256,27.107,53.963,101.500,63.435,0.528,14.284,255.769,146.519,44.901,63.435,6.000E-4,0.536
7,0.168,102.366,17.897,81.778,114.208,26.565,0.236,17.151,307.097,136.594,44.665,0.000,0.000,0.411
8,0.168,140.006,26.095,110.778,160.963,0.000,0.473,23.457,420.019,185.512,83.421,0.000,0.000,0.551
9,0.168,163.741,33.535,126.333,191.111,0.000,0.473,27.434,491.222,179.132,83.421,0.000,0.000,0.479
10,0.168,161.889,29.796,139.333,195.667,0.000,0.473,27.123,485.667,171.806,80.113,0.000,0.000,0.394
11,0.223,147.611,76.102,62.667,217.444,0.000,0.709,32.975,590.444,164.480,83.658,0.000,0.000,0.713
12,0.223,142.574,58.698,77.889,203.000,63.435,0.528,31.850,570.296,153.609,80.822,63.435,6.000E-4,0.600
13,0.223,144.710,43.530,94.222,195.951,0.000,0.709,32.327,578.840,143.447,77.750,0.000,0.000,0.630
14,0.168,129.944,40.666,99.667,176.167,63.435,0.528,21.771,389.833,139.666,76.095,63.435,6.000E-4,0.528
15,0.168,174.181,36.174,149.688,215.729,0.000,0.528,29.183,522.542,173.460,118.870,26.565,6.000E-4,0.476
16,0.223,151.512,42.486,111.333,193.296,33.690,0.668,33.847,606.049,162.116,119.106,45.000,0.000,0.678
17,0.223,156.000,59.335,95.000,234.000,18.435,0.747,34.849,624.000,155.972,120.524,18.435,8.485E-4,0.747
18,0.223,153.691,54.192,83.889,210.284,18.435,0.709,34.333,614.765,145.810,118.161,0.000,0.000,0.726
19,0.223,143.861,66.399,60.000,200.741,45.000,0.668,32.137,575.444,141.320,117.688,45.000,0.000,0.726
20,0.223,127.213,54.409,59.852,185.000,33.690,0.747,28.418,508.852,135.885,118.870,18.435,8.485E-4,0.811
21,0.223,124.852,56.140,66.889,184.630,18.435,0.852,27.891,499.407,132.340,116.270,33.690,0.003,0.776
22,0.223,147.367,59.468,75.778,221.074,0.000,0.709,32.921,589.469,126.668,114.143,0.000,0.000,0.792
23,0.223,119.572,47.780,69.667,180.877,18.435,0.528,26.711,478.288,122.178,113.198,26.565,6.000E-4,0.705
24,0.223,121.478,64.539,48.333,196.099,14.036,0.747,27.137,485.914,115.088,112.725,18.435,8.485E-4,0.822
25,0.223,123.644,44.885,68.333,164.481,26.565,0.747,27.621,494.574,167.079,144.392,18.435,8.485E-4,0.636
26,0.223,127.225,41.364,79.056,171.586,18.435,0.528,28.421,508.901,147.937,139.666,26.565,6.000E-4,0.600
27,0.223,131.736,59.146,63.667,189.556,0.000,0.709,29.429,526.944,118.397,142.974,0.000,0.000,0.768
28,0.223,122.359,39.666,80.167,172.222,0.000,0.709,27.334,489.438,113.907,142.029,0.000,0.000,0.653
29,0.223,152.778,59.350,79.333,203.111,45.000,0.668,34.129,611.111,183.385,190.239,45.000,0.000,0.726
30,0.279,174.256,50.029,113.778,231.000,-33.690,0.747,48.659,871.278,176.768,190.711,161.565,8.485E-4,0.848
31,0.223,131.495,50.091,73.222,181.243,56.310,0.668,29.375,525.979,161.644,197.328,45.000,0.000,0.678
32,0.223,153.316,59.034,96.667,225.576,0.000,0.709,34.249,613.263,159.044,189.530,0.000,0.000,0.792
33,0.279,140.200,70.351,43.333,194.417,-14.036,0.974,39.149,701.000,138.721,182.440,165.964,6.164E-4,0.974
34,0.223,137.774,38.837,95.250,186.759,0.000,0.747,30.778,551.097,134.467,182.676,18.435,8.485E-4,0.653
35,0.223,121.931,41.438,81.167,177.111,-33.690,0.747,27.238,487.722,128.559,182.913,161.565,8.485E-4,0.740
36,0.223,95.771,26.486,72.292,123.667,-33.690,0.747,21.394,383.083,122.887,182.440,161.565,8.485E-4,0.768
37,0.391,114.971,35.329,70.729,159.771,-45.000,1.337,44.946,804.794,116.979,180.077,135.000,0.000,1.337
38,0.168,115.142,60.966,45.000,155.398,45.000,0.528,19.291,345.426,107.054,177.005,63.435,6.000E-4,0.586
39,0.223,95.193,51.043,32.444,154.444,45.000,0.852,21.265,380.772,102.800,176.768,33.690,0.003,0.733
40,0.223,95.159,36.283,47.111,133.494,90.000,0.473,21.258,380.636,96.655,176.296,90.000,0.000,0.631
41,0.223,165.604,48.724,116.333,225.083,45.000,0.747,36.994,662.417,181.731,234.431,18.435,8.485E-4,0.689
42,0.168,154.222,56.234,91.333,199.667,-26.565,0.528,25.839,462.667,165.898,240.102,153.435,6.000E-4,0.528
43,0.223,131.125,57.608,66.083,201.750,45.000,0.747,29.292,524.500,160.226,241.048,18.435,8.485E-4,0.689
44,0.223,152.736,72.890,53.667,225.611,26.565,0.852,34.120,610.944,140.139,245.302,33.690,0.003,0.689
45,0.223,123.167,77.763,39.833,190.167,18.435,0.852,27.514,492.667,130.449,248.846,33.690,0.003,0.793
46,0.223,77.667,20.956,50.852,102.062,0.000,0.473,17.350,310.667,97.128,254.991,0.000,0.000,0.630
47,0.168,88.114,38.679,48.222,125.454,45.000,0.668,14.763,264.343,88.384,247.192,45.000,0.000,0.557
